region,Unnamed: 0,a,ii,iii,iv,total
Abruzzo,0,0,2,6,9,17
Basilicata,2,0,0,1,5,6
Calabria,5,0,0,1,10,11
Campania,23,0,4,2,27,33
Emilia Romagna,10,1,3,9,50,63
Friuli Venezia Giulia,9,0,0,3,15,18
Lazio,32,0,2,14,77,93
Liguria,22,0,3,3,18,24
Lombardia,28,4,6,30,103,143
Marche,14,1,1,5,18,25
Molise,16,0,0,0,4,4
Piemonte,43,1,2,10,30,43
Puglia,21,0,0,7,18,25
Sardegna,26,0,0,2,11,13
Sicilia,41,0,0,10,15,25
Toscana,33,1,4,10,41,56
Trentino Alto Adige,26,0,0,1,17,18
Umbria,27,0,2,5,2,9
Valle d'Aosta,28,0,0,1,1,2
Veneto,90,0,3,8,40,51
Śląskie,32,0,0,0,1,1
